field,count
data,142
descricao,91
observacao,45
atividade,32
tipoResposta,31
date,30
remetente,30
duracao,29
oper,28
dataInicial,26
nomeFuncionario,25
equipamento,24
quantidadeAbastecida,24
dataFinal,23
hora,21
medicaoAtual,20
id,18
title,18
text,18
DIA_SEMANA,18
FLAG_TURNO_ABERTO,18
perda,15
efetivo_funcionario,14
desc,14
acessoOrigem,13
tipoOperacao,12
folhaTarefa,11
viagens,10
fase,10
acessoDestino,10
combDesc,10
escavadeira,10
tipoOper,10
postoAbastecimento,10
combustivel,10
material,9
caminhao,9
grupoAtividade,8
alerta,7
frente,7
tipo,7
quantidade,7
funcionario,6
descAtividade,6
kmTotal,6
tipoProd,6
total,6
segunda,6
terca,6
quarta,6
quinta,6
sexta,6
sabado,6
domingo,6
operacao,6
duracaoServico,5
encarregado,5
tipoAtividade,4
codigoOS,4
placa,4
kmInicial,4
kmFinal,4
qtdMaterial,4
lubrificante,4
eqpDesc,4
operadorDesc,4
comboioDesc,4
duracaoParada,3
duracaoDeslocamento,3
ENTRADA,3
SAIDA,3
ENTRADA2,3
SAIDA2,3
ENTRADA3,3
SAIDA3,3
ferramenta,3
CAUSA,3
SOLUCAO,3
HORAS_TRABALHADAS,2
ordemServico,2
DATA_REAL,2
horarioPonto,2
STATUS,2
MOTIVO,2
DATA,2
HORAS_A_TRABALHAR,2
prefixo,2
acesso,2
dataInicio,2
dataFim,2
RECLAMACAO_CLIENTE,2
statusOS,2
crachaFuncionario,2
horaInicial,2
horaFinal,2
HORIMETRO,2
HORA_TRILHA,2
status,2
motorista,2
telefone,2
unidade,2
desconto,2
quantidadeFinal,2
origem,2
destino,2
kmEstaca,2
mEstaca,2
apontador,2
grupoQuestaoDesc,2
descricaoQuestao,2
informarHorimetro,2
eqp,2
atividadeDesc,2
nomeEncarregado,2
furo,2
horimetro,2
tipoApontamento,1
DIA,1
SALDO,1
descricaoAtividade,1
irregularidade,1
tratativa,1
cliente,1
HORAS_EXTRAS,1
SUJESTAO_SAIDA,1
OS_DESC,1
CODIGO,1
DESCRICAO,1
DATA_ABERTURA,1
TIPO_SUB_OS,1
OS_SEQ_DB,1
EQP_DESC,1
STATUS_SUB_OS_DESC,1
SEQ_DB_DEVICE,1
chamado,1
nomeRecebedor,1
matriculaRecebedor,1
eqpColetor,1
celular,1
email,1
metrica1,1
unidadeMedida,1
obraDesc,1
sistemaDesc,1
subsistemaDesc,1
componenteDesc,1
resultadoSOS,1
observacaoSOS,1
arquivoSOS,1
distancia,1
NOME_CLIENTE1,1
NOME_CLIENTE2,1
NOME_CLIENTE3,1
totalKM,1
descEquipamento,1
chassiEquipamento,1
modeloEquipamento,1
CHASSI,1
FROTA,1
CODIGO_PECA,1
DESCRICAO_PECA,1
QTD_REQUISITADA,1
QTD_UTILIZADA,1
QTD_DEVOLVIDA,1
funcionarios,1
atividades,1
tempoProdutivo,1
tempoImprodutivo,1
perdas,1
tempoTotal,1
grupo,1
producao,1
CODIGO_EQUIPAMENTO,1
DESCRICAO_EQUIPAMENTO,1
NOME_OPERADOR,1
QTD,1
VOLUME,1
encerranteInicial,1
encerranteFinal,1
horimetroInicial,1
horimetroFinal,1
CRACHA,1
NOME,1
parada,1
bancada,1
perfuracao,1
comprimento,1
diametroFuro,1
inclinacaoFuro,1
valido,1
detalhe,1
