resource,count
_lastApontamento,47
_checklistRespondido,31
_msgAgendada,18
_lastFuncionario,10
_lastEquip,7
_lastEquipamento,3
_dadosPlanejamento,3
_dadosPlanejamentoProximaSemana,3
_titleOS,2
_titleTecnico,2
_titleEquipamento,2
_titleHorasTrabalhadas,2
_titleDeslocamento,2
_lastAtividade,2
_resumoApontamento,1
_resumoTotal,1
_resumoApontamentoSemanal,1
_resumoBancoHoras,1
_resumoBNC,1
_resumoEspelhoLapso,1
_resumoEspelhoPonto,1
_resumoLapsosSemanal,1
_resumoPontoPainel,1
_resumoTermoCautelar,1
_lastFerramenta,1
_titleSOS,1
_titleObs,1
_titleResult,1
_titleArquivo,1
_lastBoletim,1
_lastApontamentoProducao,1
_resumoPonto,1
_lastApontamentoDetalhe,1
