task_id,count
recorddetail_fields_3,140
recorddetail_fields_2,76
get__lastApontamento,47
query__lastApontamento,47
get__checklistRespondido,31
query__checklistRespondido,31
get__msgEnviadas,30
get__msgRecebidas,30
get__msgAgendada,18
query__msgAgendada,18
get__lastFuncionario,10
query__lastFuncionario,10
get__lastEquip,7
query__lastEquip,7
get__resumoTotal,5
get__resumoSOS,5
get__resumoAtividade,4
get__resumoEquipamento,4
get__lastEquipamento,3
query__lastEquipamento,3
recorddetail_fields_18,3
recorddetail_fields_19,3
recorddetail_fields_20,3
recorddetail_fields_21,3
recorddetail_fields_22,3
get__dadosPlanejamento,3
query__dadosPlanejamento,3
get__dadosPlanejamentoProximaSemana,3
query__dadosPlanejamentoProximaSemana,3
get__apontsEquip,3
recorddetail_fields_4,2
get__resumoDescricaoServico,2
get__titleOS,2
get__resumoOS,2
get__titleTecnico,2
get__resumoTecnico,2
get__titleEquipamento,2
get__titleHorasTrabalhadas,2
get__resumoAtividadeOS,2
get__titleDeslocamento,2
get__resumoDeslocamento,2
get__resumoDeslocamentoTotal,2
query__titleOS,2
query__titleTecnico,2
query__titleEquipamento,2
query__titleHorasTrabalhadas,2
query__titleDeslocamento,2
recorddetail_fields_23,2
recorddetail_fields_24,2
recorddetail_fields_25,2
recorddetail_fields_26,2
recorddetail_fields_27,2
recorddetail_fields_28,2
recorddetail_fields_29,2
get__resumoObservacao,2
get__lastAtividade,2
query__lastAtividade,2
get__resumoApontamento,1
query__resumoApontamento,1
query__resumoTotal,1
recorddetail_fields_5,1
recorddetail_fields_6,1
get__resumoApontamentoSemanal,1
query__resumoApontamentoSemanal,1
get__resumoBancoHoras,1
query__resumoBancoHoras,1
get__resumoBNC,1
query__resumoBNC,1
get__resumoEspelhoLapso,1
query__resumoEspelhoLapso,1
get__resumoEspelhoPonto,1
query__resumoEspelhoPonto,1
get__resumoLapsosSemanal,1
query__resumoLapsosSemanal,1
get__resumoPontoPainel,1
query__resumoPontoPainel,1
get__resumoSubOS,1
get__resumoTermoCautelar,1
query__resumoTermoCautelar,1
get__lastFerramenta,1
query__lastFerramenta,1
get__titleSOS,1
get__titleResult,1
get__titleObs,1
get__titleArquivo,1
query__titleSOS,1
query__titleObs,1
query__titleResult,1
query__titleArquivo,1
recorddetail_fields_14,1
recorddetail_fields_15,1
recorddetail_fields_16,1
recorddetail_fields_17,1
get__resumoAssinatura,1
get__resumoPeca,1
get__lastBoletim,1
query__lastBoletim,1
get__lastApontamentoProducao,1
query__lastApontamentoProducao,1
get__resumoMinhasViagens,1
get__resumoFoto,1
get__resumoPonto,1
query__resumoPonto,1
get__lastApontamentoDetalhe,1
query__lastApontamentoDetalhe,1
